金阁寺,作者:(日)三岛由纪夫
大象的眼泪,作者:[美] 莎拉·格鲁恩 (著) 谢佳真(译)
飘（英文版上下册）,作者:玛格丽特·米切尔
The Washington Manual of Medical Therapeutics,作者:Godara, Hemant
唐太宗屏风帖,作者:刘小晴 编
唐诗说Ⅱ,作者:蔡志忠
散氏盘,作者:上海书画出版社 编
白夜行,作者:[日] 东野圭吾 译者: 刘姿君
毛公鼎,作者:上海书画出版社 编
礼器碑,作者:本社 编
Beloved (Plume Contemporary Fiction),作者:Toni Morrison
The Shack小屋,作者:Young, William P.威廉．保羅．楊
芥子园画传,作者:巢勋
王羲之王献之选集(历代法帖选),作者:王献之 陈大中 王羲之
魔戒. 第三部, 王者无敌,作者:（英）托尔金 著，汤定九 译
史记（全10册）,作者:司马迁 著
三国志（全5册）,作者:陈寿 著
智永真草千字文墨迹,作者:
苏轼选集,作者:苏轼
怀素草书集,作者:陈大中
黄山谷选集,作者:曾精雄 陈大中
张瑞图选集,作者:汤耀翔 陈一平 周梅 李迪 王犁 陈大中
历代法帖选．书谱,作者:(唐)孙过庭书
石鼓文,作者:方传鑫
历代法帖选 宋 米芾选集,作者:张建春
陆柬之文赋,作者:刘小晴 庄新兴
张猛龙碑,作者:方传鑫
张黑女墓志,作者:
龙藏寺碑,作者:
敬史君碑,作者:方传鑫
天发神谶碑,作者:本社  编
高贞碑,作者:上海书画出版社 方传鑫 编
司马氏墓志四种,作者:方传鑫
唐太宗温泉铭,作者:方传鑫 编
集王羲之圣教序,作者:本社 编
集王羲之书兴福寺半截碑,作者:本社  编
衡方碑,作者:方传鑫
杨大眼造像记,作者:刘小晴 庄新兴
始平公造像记,作者:
曹全碑/中国碑帖经典,作者:方传鑫
中国碑帖经典, 乙瑛碑,作者:方传鑫
史晨前后碑,作者:方传鑫
王羲之十七帖,作者:上海书画出版社 编
华山碑,作者:
颜真卿勤礼碑,作者:
颜真卿多宝塔碑,作者:
颜真卿麻姑仙坛记,作者:方传鑫
颜真卿元次山碑,作者:方传鑫
朝侯小子残碑,作者:方传鑫
刁遵墓志,作者:方传鑫
协和内科住院医师手册,作者:李剑 编 吴东 编
实用外科医嘱手册,作者:梁力建，赖佳明 主编
笑面人,作者:雨果 (著) 周国强(译)
歐葉妮．格朗台,作者:巴爾扎克
临床用药速查手册,作者:苏冠华，王朝晖　主编
Oxford Handbook of Clinical Surgery,作者:McLatchie, Greg; Borley, Neil; Chikwe, Joanna
挪威的森林,作者:[日] 村上春树 (著) 林少华(译)
魔戒. 第二部, 双塔奇兵,作者:英.托尔金 著 姚锦 译
莎士比亚戏剧故事集,作者:兰姆姐弟改写 萧乾译
德希蕾日记,作者:A. G. 艾尔 改写 (著) 易尔山 注释(译)
马克·吐温短篇小说选,作者: (著) 苏福忠(译)
繁星春水,作者:冰心
精選日漢漢日詞典 (新版),作者:姜晚成/ 王郁良
基度山伯爵（全四册）,作者:[法] 大仲马 (著) 蒋学模(译)
魔戒（第一部）,作者:[英国] 托尔金
柳公权金刚经,作者:本社 编
古汉语常用字字典（2004年版）,作者:《古汉语常用字字典》编写组
朗文当代高级英语辞典,作者:朱原 (著) 朱原(译)
